decoder,epochs,reset_interval,map_size,nu_pre,nu_post,strength_exc,strength_inh,norm,e_thresh,e_rest,e_refrac,theta_plus,tc_theta_decay,e_tc_decay,e_tc_trace,i_thresh,i_rest,i_refrac,i_tc_decay,test,train,train_time,test_time,total_time,stopped,train_itspikes,test_itspikes,processed_images,in_spikes_0_train,in_spikes_0_test,all_class_0_count_train,all_class_0_preds_train,all_class_0_count_test,all_class_0_preds_test,vote_class_0_count_train,vote_class_0_preds_train,vote_class_0_count_test,vote_class_0_preds_test,2gram_class_0_count_train,2gram_class_0_preds_train,2gram_class_0_count_test,2gram_class_0_preds_test,log_class_0_count_train,log_class_0_preds_train,log_class_0_count_test,log_class_0_preds_test,svm_class_0_count_train,svm_class_0_preds_train,svm_class_0_count_test,svm_class_0_preds_test,in_spikes_1_train,in_spikes_1_test,all_class_1_count_train,all_class_1_preds_train,all_class_1_count_test,all_class_1_preds_test,vote_class_1_count_train,vote_class_1_preds_train,vote_class_1_count_test,vote_class_1_preds_test,2gram_class_1_count_train,2gram_class_1_preds_train,2gram_class_1_count_test,2gram_class_1_preds_test,log_class_1_count_train,log_class_1_preds_train,log_class_1_count_test,log_class_1_preds_test,svm_class_1_count_train,svm_class_1_preds_train,svm_class_1_count_test,svm_class_1_preds_test,in_spikes_2_train,in_spikes_2_test,all_class_2_count_train,all_class_2_preds_train,all_class_2_count_test,all_class_2_preds_test,vote_class_2_count_train,vote_class_2_preds_train,vote_class_2_count_test,vote_class_2_preds_test,2gram_class_2_count_train,2gram_class_2_preds_train,2gram_class_2_count_test,2gram_class_2_preds_test,log_class_2_count_train,log_class_2_preds_train,log_class_2_count_test,log_class_2_preds_test,svm_class_2_count_train,svm_class_2_preds_train,svm_class_2_count_test,svm_class_2_preds_test,in_spikes_3_train,in_spikes_3_test,all_class_3_count_train,all_class_3_preds_train,all_class_3_count_test,all_class_3_preds_test,vote_class_3_count_train,vote_class_3_preds_train,vote_class_3_count_test,vote_class_3_preds_test,2gram_class_3_count_train,2gram_class_3_preds_train,2gram_class_3_count_test,2gram_class_3_preds_test,log_class_3_count_train,log_class_3_preds_train,log_class_3_count_test,log_class_3_preds_test,svm_class_3_count_train,svm_class_3_preds_train,svm_class_3_count_test,svm_class_3_preds_test,in_spikes_4_train,in_spikes_4_test,all_class_4_count_train,all_class_4_preds_train,all_class_4_count_test,all_class_4_preds_test,vote_class_4_count_train,vote_class_4_preds_train,vote_class_4_count_test,vote_class_4_preds_test,2gram_class_4_count_train,2gram_class_4_preds_train,2gram_class_4_count_test,2gram_class_4_preds_test,log_class_4_count_train,log_class_4_preds_train,log_class_4_count_test,log_class_4_preds_test,svm_class_4_count_train,svm_class_4_preds_train,svm_class_4_count_test,svm_class_4_preds_test,in_spikes_5_train,in_spikes_5_test,all_class_5_count_train,all_class_5_preds_train,all_class_5_count_test,all_class_5_preds_test,vote_class_5_count_train,vote_class_5_preds_train,vote_class_5_count_test,vote_class_5_preds_test,2gram_class_5_count_train,2gram_class_5_preds_train,2gram_class_5_count_test,2gram_class_5_preds_test,log_class_5_count_train,log_class_5_preds_train,log_class_5_count_test,log_class_5_preds_test,svm_class_5_count_train,svm_class_5_preds_train,svm_class_5_count_test,svm_class_5_preds_test,in_spikes_6_train,in_spikes_6_test,all_class_6_count_train,all_class_6_preds_train,all_class_6_count_test,all_class_6_preds_test,vote_class_6_count_train,vote_class_6_preds_train,vote_class_6_count_test,vote_class_6_preds_test,2gram_class_6_count_train,2gram_class_6_preds_train,2gram_class_6_count_test,2gram_class_6_preds_test,log_class_6_count_train,log_class_6_preds_train,log_class_6_count_test,log_class_6_preds_test,svm_class_6_count_train,svm_class_6_preds_train,svm_class_6_count_test,svm_class_6_preds_test,in_spikes_7_train,in_spikes_7_test,all_class_7_count_train,all_class_7_preds_train,all_class_7_count_test,all_class_7_preds_test,vote_class_7_count_train,vote_class_7_preds_train,vote_class_7_count_test,vote_class_7_preds_test,2gram_class_7_count_train,2gram_class_7_preds_train,2gram_class_7_count_test,2gram_class_7_preds_test,log_class_7_count_train,log_class_7_preds_train,log_class_7_count_test,log_class_7_preds_test,svm_class_7_count_train,svm_class_7_preds_train,svm_class_7_count_test,svm_class_7_preds_test,in_spikes_8_train,in_spikes_8_test,all_class_8_count_train,all_class_8_preds_train,all_class_8_count_test,all_class_8_preds_test,vote_class_8_count_train,vote_class_8_preds_train,vote_class_8_count_test,vote_class_8_preds_test,2gram_class_8_count_train,2gram_class_8_preds_train,2gram_class_8_count_test,2gram_class_8_preds_test,log_class_8_count_train,log_class_8_preds_train,log_class_8_count_test,log_class_8_preds_test,svm_class_8_count_train,svm_class_8_preds_train,svm_class_8_count_test,svm_class_8_preds_test,in_spikes_9_train,in_spikes_9_test,all_class_9_count_train,all_class_9_preds_train,all_class_9_count_test,all_class_9_preds_test,vote_class_9_count_train,vote_class_9_preds_train,vote_class_9_count_test,vote_class_9_preds_test,2gram_class_9_count_train,2gram_class_9_preds_train,2gram_class_9_count_test,2gram_class_9_preds_test,log_class_9_count_train,log_class_9_preds_train,log_class_9_count_test,log_class_9_preds_test,svm_class_9_count_train,svm_class_9_preds_train,svm_class_9_count_test,svm_class_9_preds_test,in_spikes_10_train,in_spikes_10_test,all_class_10_count_train,all_class_10_preds_train,all_class_10_count_test,all_class_10_preds_test,vote_class_10_count_train,vote_class_10_preds_train,vote_class_10_count_test,vote_class_10_preds_test,2gram_class_10_count_train,2gram_class_10_preds_train,2gram_class_10_count_test,2gram_class_10_preds_test,log_class_10_count_train,log_class_10_preds_train,log_class_10_count_test,log_class_10_preds_test,svm_class_10_count_train,svm_class_10_preds_train,svm_class_10_count_test,svm_class_10_preds_test,train_outpt_otspikes,test_outpt_otspikes,class0_train_outpt_otspikes,class0_test_outpt_otspikes,class1_train_outpt_otspikes,class1_test_outpt_otspikes,class2_train_outpt_otspikes,class2_test_outpt_otspikes,class3_train_outpt_otspikes,class3_test_outpt_otspikes,class4_train_outpt_otspikes,class4_test_outpt_otspikes,class5_train_outpt_otspikes,class5_test_outpt_otspikes,class6_train_outpt_otspikes,class6_test_outpt_otspikes,class7_train_outpt_otspikes,class7_test_outpt_otspikes,class8_train_outpt_otspikes,class8_test_outpt_otspikes,class9_train_outpt_otspikes,class9_test_outpt_otspikes,class10_train_outpt_otspikes,class10_test_outpt_otspikes,train_inhib_otspikes,test_inhib_otspikes,class0_train_inhib_otspikes,class0_test_inhib_otspikes,class1_train_inhib_otspikes,class1_test_inhib_otspikes,class2_train_inhib_otspikes,class2_test_inhib_otspikes,class3_train_inhib_otspikes,class3_test_inhib_otspikes,class4_train_inhib_otspikes,class4_test_inhib_otspikes,class5_train_inhib_otspikes,class5_test_inhib_otspikes,class6_train_inhib_otspikes,class6_test_inhib_otspikes,class7_train_inhib_otspikes,class7_test_inhib_otspikes,class8_train_inhib_otspikes,class8_test_inhib_otspikes,class9_train_inhib_otspikes,class9_test_inhib_otspikes,class10_train_inhib_otspikes,class10_test_inhib_otspikes,all_test,all_train_e0,all_train_e1,all_train_e2,vote_test,vote_train_e0,vote_train_e1,vote_train_e2,2gram_test,2gram_train_e0,2gram_train_e1,2gram_train_e2,log_test,log_train_e0,log_train_e1,log_train_e2,svm_test,svm_train_e0,svm_train_e1,svm_train_e2,constraint_0,constraint_1,parameters,trainable,trainable_zeros,trainable_ones,trainable_95,trainable_05,error,active_bytes.all.allocated,active_bytes.all.peak,allocated_bytes.all.allocated,allocated_bytes.all.peak,nodes,objective,eval_time,start_time,end_time,start_date,end_date,iteration,algorithm,length,trestart,model
all,1,92,130,0.0024313458683461226,0.008556297578008762,1.825582086839613,183.57492289811765,6993.21581575112,-42.361769601741486,-127.43836998641852,15,0.8447420582993371,19876595.947533112,507.4723971577058,88.49526195380963,8.288189780180161,-99.58952930825744,40,283.28975218122304,0.07514450867052024,0.10069444444444445,897.2674989700317,227.24183988571167,1124.5093388557434,True,25839750,15713901,461,1298565,708552,24,2,18,0,24,2,18,0,24,2,18,2,24,3,18,3,24,4,18,11,1160125,786043,21,0,14,0,21,0,14,0,21,0,14,0,21,0,14,0,21,1,14,0,1176874,1175962,22,0,19,0,22,0,19,0,22,0,19,0,22,0,19,1,22,0,19,0,2952828,2491450,26,0,18,0,26,0,18,0,26,0,18,0,26,2,18,0,26,1,18,0,2645323,2423937,25,0,17,0,25,0,17,0,25,0,17,0,25,2,17,0,25,1,17,0,3607912,1738598,29,0,17,0,29,0,17,0,29,2,17,0,29,5,17,0,29,5,17,6,3203373,1393402,28,23,13,13,28,23,13,13,28,0,13,0,28,5,13,8,28,1,13,1,2496321,1534320,26,4,17,0,26,4,17,0,26,0,17,0,26,1,17,0,26,2,17,0,2047175,1081026,25,0,12,0,25,0,12,0,25,0,12,0,25,0,12,2,25,0,12,0,1296061,510522,29,0,11,0,29,0,11,0,29,0,11,0,29,9,11,0,29,10,11,0,3955193,1870089,33,0,17,0,33,0,17,0,33,21,17,16,33,6,17,3,33,6,17,2,194699,89425,12610,4541,12153,5946,14053,9890,19583,13129,18350,11963,22878,11050,22264,8472,17160,7274,16250,5070,15229,2730,24169,9360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07514450867052024,0.10069444444444445,None,None,0.07514450867052024,0.10069444444444445,None,None,0.10404624277456648,0.08680555555555555,None,None,0.09826589595375723,0.11458333333333334,None,None,0.11560693641618497,0.1076388888888889,None,None,-0.1,0.03410672853828306,4293640,4259840,0,12892,9,591963,0,1999553182720,100254720,1999553182720,100254720,33028,-0.07514450867052024,1124.5822448730469,1.6965844631195068,1126.2788293361664,2023-09-18 12:17:39,2023-09-18 12:36:23,0,InitSCBO,1.0,False,-1
vote,2,10,77,0.001839877565580288,0.009953947348773771,15.21987769117647,1.221575426502455,11379.123664118517,10.578279850577374,-134.41526997554539,32,0.6042864270601623,17759740.13587029,995.6481813291721,82.9756538962131,-4.917669741697921,-119.7616290759426,33,264.60309474863914,0.09248554913294797,None,1024.871390581131,226.11038875579834,1250.9817793369293,True,24580367,15620637,461,986201,506830,25,14,13,0,25,14,13,0,25,4,13,1,25,0,13,1,25,1,13,0,1191758,710842,24,0,15,0,24,0,15,0,24,0,15,0,24,2,15,6,24,2,15,5,1603865,689016,29,0,13,0,29,0,13,0,29,6,13,0,29,4,13,0,29,5,13,0,3312998,2115545,27,10,16,16,27,10,16,16,27,0,16,0,27,0,16,0,27,0,16,0,1481639,2573834,15,0,24,0,15,0,24,0,15,0,24,0,15,1,24,0,15,1,24,0,3590129,1811820,34,0,16,0,34,0,16,0,34,17,16,16,34,4,16,0,34,4,16,0,3183049,1489886,27,0,13,0,27,0,13,0,27,0,13,0,27,4,13,0,27,4,13,0,2076055,2044546,24,3,20,0,24,3,20,0,24,0,20,0,24,0,20,0,24,0,20,0,2340869,906459,26,0,12,0,26,0,12,0,26,0,12,0,26,0,12,0,26,0,12,0,1310995,636148,29,0,11,0,29,0,11,0,29,0,11,0,29,3,11,1,29,3,11,1,3502809,2135711,28,0,20,0,28,0,20,0,28,0,20,0,28,13,20,12,28,12,20,15,206576,118589,16511,6468,14093,7981,20559,5949,20790,11858,11473,18018,25801,12320,20790,10010,18480,15400,20020,9086,20867,8316,17192,13183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09248554913294797,0.09375,None,None,0.09248554913294797,0.09375,None,None,0.09826589595375723,0.09374999999999999,None,None,0.11560693641618497,0.10763888888888888,None,None,0.12138728323699421,0.11111111111111112,None,None,-0.09303944315545244,0.03410672853828306,2534994,2523136,0,2080,130028,298702,0,1238030463488,78883840,1238030463488,78883840,32922,-0.09248554913294797,1251.0291073322296,1.6956894397735596,1252.7247967720032,2023-09-18 12:17:39,2023-09-18 12:38:30,0,InitSCBO,1.0,False,-1
all,3,74,76,0.0027157074725914806,0.008200520349824445,144.83383955461446,45.35293199128855,27551.114274981854,-44.65105876062883,-87.42830359519532,13,0.8433349374121081,16553124.441121675,2275.7552845889,188.76713899575557,32.35139998818302,-50.77729702696868,6,225.05398684530252,0.1329479768786127,0.11842105263157894,3863.8782482147217,211.50038719177246,4075.378635406494,True,178472731,14603233,2235,6666435,907622,162,6,20,0,162,6,20,0,162,75,20,11,162,68,20,0,162,41,20,0,11284692,463774,211,0,11,0,211,0,11,0,211,0,11,0,211,36,11,0,211,22,11,0,10211598,917876,177,0,18,0,177,0,18,0,177,0,18,0,177,10,18,0,177,10,18,0,20852556,2179130,174,12,16,0,174,12,16,0,174,0,16,0,174,22,16,0,174,18,16,0,24140406,1393018,213,16,13,0,213,16,13,0,213,36,13,0,213,53,13,0,213,46,13,0,22857234,1507050,204,77,15,0,204,85,15,0,204,157,15,15,204,40,15,3,204,38,15,8,19371621,2044584,177,78,18,18,177,70,18,18,177,0,18,0,177,13,18,9,177,17,18,1,17187129,1579542,186,34,17,5,186,34,17,5,186,0,17,0,186,37,17,5,186,36,17,0,18187962,1234598,198,0,16,0,198,0,16,0,198,0,16,0,198,21,16,2,198,33,16,2,9386554,727433,187,0,16,0,187,0,16,0,187,0,16,0,187,26,16,7,187,31,16,13,18326544,1648606,173,0,13,0,173,0,13,0,173,0,13,0,173,13,13,0,173,11,13,0,646780,32602,21611,1195,61355,1672,55508,3347,69846,5320,84574,3881,84140,3876,71559,5016,34683,1672,46135,1444,38943,1455,60217,3724,633682,31954,21100,1140,59827,1560,54679,3264,68570,5320,82608,3800,82339,3876,70107,4940,34182,1594,45096,1444,37979,1368,59308,3648,0.1329479768786127,0.09999999999999999,0.09722222222222222,0.11842105263157894,0.1329479768786127,0.09999999999999999,0.09722222222222222,0.11842105263157894,0.15028901734104047,0.09861111111111111,0.12638888888888888,0.15497076023391812,0.15028901734104047,0.1502777777777778,0.1597222222222222,0.17836257309941517,0.13872832369942195,0.14333333333333337,0.1486111111111111,0.14473684210526314,0.005568445475638048,-0.19327146171693735,2501920,2490368,1,50069,2033888,376885,0,8811741852672,78804480,8811741852672,78804480,32920,-0.1329479768786127,4075.450891494751,1.610816478729248,4077.06170797348,2023-09-18 12:17:39,2023-09-18 13:25:34,0,InitSCBO,1.0,False,-1
svm,3,33,400,0.0030152405988036865,0.008413709965857701,23.788497641762888,1.1078950870297795,23695.525369262028,-55.78357626259875,-102.43673923144095,27,0.9647493396105672,18026909.15735093,57.508928959593234,410.266067007372,25.41586411847841,-99.95524731749121,6,143.25128058115527,0.11560693641618497,None,4286.791346073151,209.89572763442993,4496.687073707581,True,25119798,14545760,461,837784,630828,23,0,16,0,23,0,16,0,23,13,16,11,23,14,16,0,23,11,16,0,1394223,872580,29,4,15,0,29,4,15,0,29,0,15,0,29,1,15,0,29,2,15,0,1672883,1158182,29,4,18,0,29,4,18,0,29,0,18,0,29,6,18,0,29,1,18,0,3451282,2056173,28,0,16,0,28,0,16,0,28,0,16,0,28,8,16,0,28,8,16,0,2954640,1561390,25,5,14,0,25,5,14,14,25,0,14,0,25,0,14,3,25,0,14,3,3090590,1631458,26,0,15,0,26,0,15,0,26,8,15,0,26,2,15,2,26,1,15,2,3068510,1582960,26,10,16,15,26,10,16,2,26,10,16,16,26,1,16,0,26,1,16,0,2556663,1423598,27,6,17,5,27,6,17,5,27,0,17,0,27,1,17,8,27,0,17,0,2336525,1276257,31,0,15,0,31,0,15,0,31,3,15,0,31,7,15,0,31,8,15,9,1096282,425446,21,0,9,0,21,0,9,0,21,0,9,0,21,3,9,0,21,3,9,0,2660416,1926888,23,0,22,0,23,0,22,0,23,0,22,0,23,0,22,17,23,0,22,6,485577,204341,14326,6800,48384,17600,48187,25278,56433,28004,51411,20800,53209,22787,55600,22500,37657,11624,45267,11644,34341,9512,40762,27792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11560693641618497,0.10069444444444445,None,None,0.12138728323699421,0.10069444444444445,None,None,0.15606936416184972,0.11805555555555555,None,None,0.17341040462427745,0.14930555555555555,None,None,0.11560693641618497,0.12152777777777779,None,None,-0.0802784222737819,0.03410672853828306,13427200,13107200,6,2211669,8400539,2977093,0,6120606156800,301130752,6120606156800,301130752,33568,-0.11560693641618497,4496.998424768448,1.6972081661224365,4498.69563293457,2023-09-18 12:17:39,2023-09-18 13:32:36,0,InitSCBO,1.0,False,-1
vote,3,80,290,0.002123536320356862,0.009293167178996227,3.2795087394613396,178.93238991918196,27591.18507555381,-55.87090587968594,-113.03050880761799,9,0.95171084952875,19075650.87905556,12.678246349565514,41.227732232006794,34.512959697814765,-49.010722350872925,38,17.163462750215793,0.09826589595375723,None,6538.649493455887,211.85923600196838,6750.508729457855,True,26791772,15106717,461,1031244,825757,24,2,19,0,24,2,19,0,24,1,19,2,24,5,19,4,24,4,19,4,1490173,993680,26,0,21,0,26,0,21,0,26,0,21,0,26,2,21,0,26,0,21,0,1596067,775223,28,4,15,0,28,4,15,0,28,0,15,0,28,5,15,0,28,4,15,0,4508259,1271918,32,5,11,0,32,5,11,0,32,25,11,11,32,8,11,7,32,8,11,7,3475193,2122374,29,8,17,17,29,8,17,17,29,0,17,0,29,0,17,0,29,1,17,0,2600677,2566368,23,0,19,0,23,0,19,0,23,0,19,0,23,2,19,0,23,0,19,0,2485700,2088575,22,2,21,0,22,2,21,0,22,0,21,0,22,0,21,0,22,0,21,0,1733506,1088454,17,0,12,0,17,0,12,0,17,0,12,0,17,2,12,0,17,0,12,0,2928483,887465,32,0,11,0,32,0,11,0,32,0,11,0,32,2,11,0,32,6,11,0,1151447,698018,24,0,13,0,24,0,13,0,24,0,13,0,24,2,13,0,24,5,13,0,3791023,1788885,31,0,14,0,31,0,14,0,31,0,14,0,31,3,14,5,31,1,14,5,732496,357570,46980,27840,61770,31900,64960,24070,89610,27550,80620,42050,61770,48720,60900,50170,47270,26970,85260,24360,59986,22330,73370,31610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09826589595375723,0.07291666666666667,None,None,0.09826589595375723,0.07291666666666667,None,None,0.07514450867052024,0.09027777777777779,None,None,0.09248554913294797,0.1076388888888889,None,None,0.09248554913294797,0.10069444444444445,None,None,-0.0988399071925754,0.03410672853828306,9670920,9502720,0,31,6190189,26564,0,4426753180160,203515904,4426753180160,203515904,33348,-0.09826589595375723,6750.704007387161,1.609731674194336,6752.313739061356,2023-09-18 12:17:39,2023-09-18 14:10:09,0,InitSCBO,1.0,False,-1
2gram,2,16,427,0.0015434174179245418,0.009902346948656847,3.0690005150854804,477.72008466449546,32711.985945860913,-1.4432810651232302,-132.57727385136513,21,0.9936659148840291,19049960.227309503,63.656788826457095,495.54839617693744,39.74986887442289,-71.83247835843319,0,2003.98839416201,0.06358381502890173,None,9912.768922805786,220.533061504364,10133.30198431015,True,24649686,15757861,461,1056391,664897,25,8,16,0,25,4,16,0,25,1,16,0,25,7,16,0,25,7,16,0,1250042,615923,24,0,15,0,24,0,15,0,24,0,15,0,24,0,15,0,24,0,15,0,1570089,768424,29,0,11,0,29,0,11,0,29,0,11,0,29,0,11,0,29,0,11,0,3062013,2268348,26,15,17,0,26,16,17,0,26,3,17,0,26,7,17,0,26,7,17,0,3415258,2288924,29,0,19,19,29,0,19,19,29,7,19,0,29,4,19,16,29,4,19,16,2122070,2249663,21,0,18,0,21,0,18,0,21,0,18,0,21,0,18,0,21,0,18,0,3118731,1093661,30,0,10,0,30,0,10,0,30,4,10,0,30,0,10,0,30,0,10,0,3123296,864670,30,3,11,0,30,3,11,0,30,0,11,11,30,7,11,0,30,7,11,0,2243374,1950894,26,0,21,0,26,0,21,0,26,0,21,0,26,1,21,0,26,1,21,0,727137,933179,17,0,18,0,17,0,18,0,17,0,18,0,17,1,18,0,17,1,18,18,2961285,2059278,31,0,17,0,31,0,17,0,31,1,17,0,31,2,17,8,31,2,17,3,821612,467045,66667,38430,65756,35441,82411,30642,77287,49532,86254,55510,61915,51240,87962,29036,88389,30317,75579,59789,44846,46116,84546,40992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10982658959537572,0.09027777777777778,None,None,0.10982658959537572,0.0798611111111111,None,None,0.06358381502890173,0.05555555555555555,None,None,0.13872832369942195,0.10069444444444445,None,None,0.2138728323699422,0.10069444444444445,None,None,-0.1,0.03410672853828306,14356594,13991936,13,920,13882871,5645,0,6576297199104,313400320,6576297199104,313400320,33622,-0.06358381502890173,10133.664900302887,1.620558500289917,10135.285458803177,2023-09-18 12:17:39,2023-09-18 15:06:32,0,InitSCBO,1.0,False,-1
log,2,30,300,0.0024758302719158553,0.007073454037244787,75.88801795438377,15.307916551782135,11524.099947636496,-54.54885009755484,-97.80581453468622,3,0.9020478543228351,15544885.628300726,5.479481805001243,267.4477320739449,16.79338222693447,-91.24741088156898,15,81.40256949927691,0.06358381502890173,None,10285.541555404663,219.93557238578796,10505.477127790451,True,38112491,15065815,605,1933132,508749,42,0,14,0,42,0,14,0,42,26,14,14,42,9,14,0,42,11,14,0,1455607,756688,32,0,15,0,32,0,15,0,32,0,15,0,32,4,15,0,32,4,15,0,1922081,819875,33,0,15,0,33,0,15,0,33,0,15,0,33,3,15,0,33,3,15,0,5125425,2129433,37,20,20,15,37,21,20,15,37,0,20,0,37,4,20,0,37,4,20,0,3897495,1685547,35,11,13,0,35,10,13,0,35,0,13,0,35,2,13,7,35,2,13,9,3232052,2253738,31,0,20,0,31,0,20,0,31,0,20,0,31,0,20,0,31,0,20,0,4252467,1416597,41,0,14,0,41,0,14,0,41,0,14,0,41,9,14,0,41,13,14,0,4288719,1332478,46,8,12,2,46,8,12,2,46,18,12,10,46,6,12,4,46,5,12,2,3503903,2203814,37,0,24,0,37,0,24,0,37,11,24,0,37,3,24,0,37,3,24,0,2432209,699523,46,0,13,0,46,0,13,0,46,0,13,0,46,9,13,0,46,11,13,0,6069401,1259373,52,0,13,0,52,0,13,0,52,0,13,0,52,6,13,0,52,4,13,0,1155492,160762,68881,0,30309,1800,49363,981,155658,27300,116848,25795,96741,21043,99110,14400,164385,23400,150376,24443,71521,3000,152300,18600,359058,48208,20400,0,8700,900,15299,0,46921,7800,37200,7500,30561,5700,29100,4800,50307,6900,50302,7108,22239,600,48029,6900,0.09826589595375723,0.09027777777777778,None,None,0.09826589595375723,0.09027777777777778,None,None,0.13872832369942195,0.1273148148148148,None,None,0.06358381502890173,0.1273148148148148,None,None,0.06358381502890173,0.1388888888888889,None,None,0.007888631090487236,-0.1445475638051044,10010400,9830400,0,32479,7369,1810264,0,6961246349312,236829184,6961246349312,236829184,33368,-0.06358381502890173,10505.678175210953,1.694953203201294,10507.373128414154,2023-09-18 12:17:39,2023-09-18 15:12:44,0,InitSCBO,1.0,False,-1
2gram,1,6,23,0.0001333793668169692,0.005972940341303307,2.395962533069421,418.88728984108536,28574.5239981784,-27.03748188717832,-107.08280848846788,17,0.9998243102819862,17637420.31474346,9.178093535845242,1944.6097113303197,37.574068448170564,-113.45890076891571,11,13.255328669476011,0.15028901734104047,0.12152777777777776,442.56273198127747,218.36922597885132,660.9319579601288,True,25653670,15065815,461,1333672,508749,29,0,14,0,29,0,14,0,29,15,14,14,29,7,14,0,29,7,14,14,1067643,756688,24,2,15,0,24,2,15,0,24,0,15,0,24,11,15,0,24,7,15,0,1467944,819875,22,0,15,0,22,0,15,0,22,0,15,0,22,0,15,12,22,1,15,0,3526944,2129433,26,10,20,19,26,10,20,19,26,0,20,0,26,4,20,0,26,3,20,0,3519652,1685547,32,3,13,0,32,3,13,0,32,7,13,12,32,2,13,0,32,5,13,0,2639729,2253738,23,0,20,0,23,0,20,0,23,0,20,0,23,1,20,0,23,1,20,0,3148238,1416597,31,0,14,0,31,0,14,0,31,7,14,0,31,3,14,7,31,5,14,9,2576161,1332478,31,16,12,2,31,16,12,2,31,5,12,0,31,1,12,0,31,3,12,0,2200136,2203814,23,0,24,0,23,0,24,0,23,0,24,0,23,1,24,0,23,0,24,0,1412921,699523,24,0,13,0,24,0,13,0,24,1,13,0,24,1,13,0,24,4,13,0,2760630,1259373,23,0,13,0,23,0,13,0,23,0,13,0,23,1,13,3,23,0,13,0,79214,27161,4622,0,3002,391,5773,805,9637,4517,10281,3232,7896,5083,9890,2668,10097,3151,6978,3911,5014,528,6024,2875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12138728323699421,0.10763888888888888,None,None,0.12138728323699421,0.10763888888888888,None,None,0.15028901734104047,0.12152777777777776,None,None,0.12716763005780346,0.1111111111111111,None,None,0.1329479768786127,0.125,None,None,-0.04779582366589328,0.03410672853828306,754722,753664,0,0,471540,2458,0,7334803587072,236829184,7334803587072,236829184,32814,-0.15028901734104047,660.959939956665,10507.37424826622,11168.334188222885,2023-09-18 15:12:44,2023-09-18 15:23:45,0,InitSCBO,1.0,False,-1
svm,1,62,401,0.0004280840740508461,0.003580794027206863,73.80647444274608,35.04613067828324,8949.077835924227,37.9697143204494,-137.0334722471683,19,0.966384237209931,5252527.670926845,25.231615190435136,2878.4127399144795,-39.050306530890566,-55.88075645559937,16,12.902148345799036,0.09826589595375723,0.12388888888888891,11360.894980430603,211.36445903778076,11572.259439468384,False,60305936,15212406,862,2589621,371893,62,0,12,0,62,0,12,0,62,5,12,0,62,6,12,12,62,8,12,11,3196394,1243704,63,0,19,0,63,0,19,0,63,0,19,0,63,8,19,0,63,4,19,0,3937903,847768,67,0,15,0,67,0,15,0,67,2,15,0,67,15,15,0,67,12,15,0,8650319,1717407,69,6,15,0,69,63,15,0,69,52,15,15,69,11,15,0,69,16,15,0,7718420,1402357,68,43,10,10,68,1,10,10,68,0,10,0,68,15,10,0,68,14,10,0,6271271,1966982,54,8,14,0,54,0,14,0,54,5,14,0,54,0,14,0,54,0,14,0,6044494,1888608,54,0,20,0,54,0,20,0,54,0,20,0,54,0,20,0,54,0,20,0,6306941,1657727,66,3,17,0,66,3,17,0,66,0,17,0,66,11,17,0,66,6,17,0,5168022,2130806,59,0,25,0,59,0,25,0,59,0,25,0,59,9,25,13,59,9,25,0,3146812,626803,62,0,13,0,62,0,13,0,62,0,13,0,62,4,13,0,62,4,13,0,7275739,1358351,65,0,13,0,65,0,13,0,65,0,13,0,65,6,13,0,65,10,13,6,1186453,249023,76591,9223,77549,23659,89824,13233,135339,26065,132391,18847,104660,25664,103043,31278,128266,31679,109463,39300,89779,12431,105463,17644,1169174,244610,75362,8822,77097,23258,89022,12431,131928,25263,129122,18847,103458,24862,101052,30476,127117,31679,108103,39298,88879,12030,104350,17644,0.057803468208092484,0.09194444444444444,None,None,0.057803468208092484,0.10166666666666666,None,None,0.08670520231213873,0.09749999999999999,None,None,0.14450867052023122,0.12666666666666668,None,None,0.09826589595375723,0.12388888888888891,None,None,-0.07447795823665894,-0.27447795823665894,13461570,13139968,0,460,0,2050841,0,14584120744960,291701248,14584120744960,291701248,33570,-0.09826589595375723,11572.589030504227,1.6984827518463135,11574.287513256073,2023-09-18 12:17:39,2023-09-18 15:30:31,0,InitSCBO,1.0,False,-1
