epochs,batch_size,decoder,c1_filters,c2_filters,c1_k,c2_k,learning_rate,tau_grad,scale_grad,threshold,threshold_step,current_decay,voltage_decay,threshold_decay,refractory_decay,dropout,test,train,train_loss,test_loss,train_time,test_time,total_time,stopped,processed_images_train,processed_images_test,error,train_inpt_otspikes,test_inpt_otspikes,train_c1_otspikes,test_c1_otspikes,train_c2_otspikes,test_c2_otspikes,train_a1_otspikes,test_a1_otspikes,train_a2_otspikes,test_a2_otspikes,train_a3_otspikes,test_a3_otspikes,train_d1_otspikes,test_d1_otspikes,train_outpt_otspikes,test_outpt_otspikes,train_accuracy_e0,test_accuracy_e0,train_accuracy_e1,test_accuracy_e1,train_accuracy_e2,test_accuracy_e2,train_accuracy_e3,test_accuracy_e3,train_accuracy_e4,test_accuracy_e4,train_accuracy_e5,test_accuracy_e5,train_accuracy_e6,test_accuracy_e6,train_accuracy_e7,test_accuracy_e7,train_accuracy_e8,test_accuracy_e8,train_accuracy_e9,test_accuracy_e9,train_accuracy_e10,test_accuracy_e10,train_accuracy_e11,test_accuracy_e11,train_accuracy_e12,test_accuracy_e12,train_accuracy_e13,test_accuracy_e13,train_accuracy_e14,test_accuracy_e14,train_accuracy_e15,test_accuracy_e15,train_accuracy_e16,test_accuracy_e16,train_accuracy_e17,test_accuracy_e17,train_accuracy_e18,test_accuracy_e18,train_accuracy_e19,test_accuracy_e19,train_accuracy_e20,test_accuracy_e20,train_accuracy_e21,test_accuracy_e21,train_accuracy_e22,test_accuracy_e22,train_accuracy_e23,test_accuracy_e23,train_accuracy_e24,test_accuracy_e24,train_accuracy_e25,test_accuracy_e25,train_accuracy_e26,test_accuracy_e26,train_accuracy_e27,test_accuracy_e27,train_accuracy_e28,test_accuracy_e28,train_accuracy_e29,test_accuracy_e29,train_accuracy_e30,test_accuracy_e30,train_accuracy_e31,test_accuracy_e31,train_accuracy_e32,test_accuracy_e32,train_accuracy_e33,test_accuracy_e33,train_accuracy_e34,test_accuracy_e34,train_accuracy_e35,test_accuracy_e35,train_accuracy_e36,test_accuracy_e36,train_accuracy_e37,test_accuracy_e37,train_accuracy_e38,test_accuracy_e38,train_accuracy_e39,test_accuracy_e39,train_ot_spikes_class0,test_ot_spikes_class0,train_ot_spikes_class1,test_ot_spikes_class1,train_ot_spikes_class2,test_ot_spikes_class2,train_ot_spikes_class3,test_ot_spikes_class3,train_ot_spikes_class4,test_ot_spikes_class4,train_ot_spikes_class5,test_ot_spikes_class5,train_ot_spikes_class6,test_ot_spikes_class6,train_ot_spikes_class7,test_ot_spikes_class7,train_ot_spikes_class8,test_ot_spikes_class8,train_ot_spikes_class9,test_ot_spikes_class9,train_ot_spikes_class10,test_ot_spikes_class10,constraint_0,parameters,trainable,trainable_zeros,trainable_ones,trainable_95,trainable_05,active_bytes.all.allocated,active_bytes.all.peak,allocated_bytes.all.allocated,allocated_bytes.all.peak,objective,eval_time,start_time,end_time,start_date,end_date,iteration,algorithm,length,trestart,model
14,3,rate,18,25,10,22,0.0019182457364355656,0.24190248747469262,0.5602217941217545,0.19113629142255417,0.18250235446310756,0.8224115013553845,0.702392712093007,0.1443904752610502,0.4454176344745412,0.3265689208570634,0.06018518518518518,0.09523809523809523,None,None,626.4525699615479,349.39638352394104,0,True,294,216,0,21829873,17387788,195667750,153778343,0,0,77669967,61541204,438419599,361143256,0,0,0,0,0,0,0.09523809523809523,0.06018518518518518,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041067285382830665,125679903,125679891,0,11,19,125679342,4548980182528,8293280256,4548980182528,8293280256,-0.06018518518518518,978.3624303340912,1.8562822341918945,980.2187125682831,2023-10-12 06:12:36,2023-10-12 06:28:54,0,InitSCBO,1.0,False,-1
6,6,max,28,29,28,25,0.02119759248973215,0.35988745414576395,0.6520071390970219,0.36601476967129754,0.0013098974608759001,0.8816073482073681,0.7760457664792232,0.025968180673740855,0.28730526875804463,0.0455883791682376,0.12037037037037036,0.11224489795918367,None,None,644.9972507953644,338.7612702846527,0,True,294,216,0,21078137,16292202,4637746,0,0,0,71215559,54426605,10165517,0,0,0,0,0,0,0,0.11224489795918367,0.12037037037037036,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041067285382830665,90892353,90892341,0,0,8,0,3883848562176,12068465664,3883848562176,12068465664,-0.12037037037037036,986.0178656578064,1.8571350574493408,987.8750007152557,2023-10-12 06:12:36,2023-10-12 06:29:02,0,InitSCBO,1.0,False,-1
5,3,max,36,13,40,44,0.06695819313035127,0.16122396120448557,0.7593085273312061,0.6317935070671247,0.0015606329142957105,0.7496065491400087,0.8852909459888204,0.06260933365155834,0.4919161637366619,0.643135784774405,0.08333333333333333,0.08163265306122448,None,None,690.5278639793396,346.46000599861145,0,True,294,216,0,21635324,16677429,575316,0,0,0,73881472,56417041,757378,0,0,0,0,0,0,0,0.08163265306122448,0.08333333333333333,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041067285382830665,15730061,15730049,0,0,8,0,2603665591296,4249529344,2603665591296,4249529344,-0.08333333333333333,1038.5988836288452,2.0665793418884277,1040.6654629707336,2023-10-12 06:12:36,2023-10-12 06:29:54,0,InitSCBO,1.0,False,-1
14,6,rate,34,33,17,25,0.025795739290612886,0.8322669304314416,0.832286823885523,0.3124562159658884,0.004549611524466012,0.8366858898314204,0.8720450395534219,0.01605008683126148,0.14555766866358955,0.25793764442049316,0.10185185185185185,0.09523809523809523,None,None,911.6454236507416,392.54458570480347,0,True,294,216,0,22673486,15348423,187494232,126737485,0,0,66426540,44657723,363594384,276155790,0,0,0,0,0,0,0.09523809523809523,0.10185185185185185,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041067285382830665,134559845,134559833,0,15,18,134559753,5732770150400,17850776064,5732770150400,17850776064,-0.10185185185185185,1306.7308073043823,1.8413379192352295,1308.5721452236176,2023-10-12 06:12:36,2023-10-12 06:34:22,0,InitSCBO,1.0,False,-1
8,5,max,3,21,33,41,0.008999937499552461,0.9257527793828207,0.5372754145247586,0.34513013518764013,0.00453099876306125,0.8528617286506223,0.8988649324529657,0.1456973267298893,0.21875184827916383,0.15530445299263698,0.08796296296296297,0.08148148148148149,None,None,387.80005860328674,281.1907067298889,0,True,270,216,0,20049414,15888878,102614,0,0,0,60444583,47370358,228768,0,0,0,0,0,0,0,0.08148148148148149,0.08796296296296297,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013225058004640355,35051369,35051357,0,0,8,0,4353165260800,9655959552,4353165260800,9655959552,-0.08796296296296297,669.345146894455,758.6562583446503,1428.0014052391052,2023-10-12 06:25:12,2023-10-12 06:36:22,0,InitSCBO,1.0,False,-1
4,3,max,5,14,24,31,0.034696609914606595,0.33622582073482016,0.525659955421055,0.8054118078870194,0.0013347957766667918,0.820390023519464,0.7813159293051664,0.0947232418013021,0.17956813198921917,0.19520094394767812,0.09259259259259259,0.08843537414965986,None,None,432.97926092147827,278.7032046318054,0,True,294,216,0,21217092,15135011,158768,0,0,0,50388602,35953631,230130,0,0,0,0,0,0,0,0.08843537414965986,0.09259259259259259,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041067285382830665,41481077,41481065,0,0,8,0,4409753853440,2510981120,4409753853440,2510981120,-0.09259259259259259,712.0602738857269,792.8797760009766,1504.9400498867035,2023-10-12 06:25:47,2023-10-12 06:37:39,0,InitSCBO,1.0,False,-1
10,4,rate,28,20,18,19,0.012360306128885442,0.44371588582519683,0.9660393866990497,0.14425660303456758,0.020648132144225173,0.8702270156917974,0.8913493466454244,0.0698210496115628,0.38083316613500395,0.051623724526734444,0.06944444444444445,0.07196969696969698,None,None,519.3602070808411,325.9708089828491,0,True,264,216,0,20523931,16137843,654052584,528640223,0,0,72366253,57670125,1278065225,1053987194,0,0,0,0,0,0,0.07196969696969698,0.06944444444444445,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006264501160092806,90706652,90706640,0,5,17,90706577,7036878431744,9668087808,7036878431744,9668087808,-0.06944444444444445,846.1361637115479,719.7810204029083,1565.9171841144562,2023-10-12 06:24:33,2023-10-12 06:38:40,0,InitSCBO,1.0,False,-1
2,5,rate,23,6,42,24,0.045036704437939674,0.17776086384555007,0.7738116053302063,0.5002299998358408,0.001148438955644337,0.8962925732292639,0.8844368205316131,0.0665572455958445,0.9219275771647913,0.611237116603291,0.07407407407407407,0.1111111111111111,None,None,409.9817404747009,295.72142028808594,0,True,270,216,0,19612283,15869081,79982753,66255906,0,0,70499760,57291495,101888854,115124295,0,0,0,0,0,0,0.1111111111111111,0.07407407407407407,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013225058004640355,13145521,13145509,0,0,18,13145466,6865899369472,14811799040,6865899369472,14811799040,-0.07407407407407407,705.8648664951324,865.6572730541229,1571.5221395492554,2023-10-12 06:26:59,2023-10-12 06:38:45,0,InitSCBO,1.0,False,-1
4,4,rate,21,14,44,46,0.050455604088370146,0.17489860889283235,0.5111572337825883,0.30536662171093454,0.13518558210228407,0.605921337198904,0.5235858460172657,0.17554490757058014,0.29785149506611874,0.40709852678227626,0.08796296296296297,0.07196969696969698,None,None,558.7774615287781,295.4464294910431,0,True,264,216,0,20955344,15018296,186622313,138019978,0,0,92637538,67737311,487212357,400192952,0,0,0,0,0,0,0.07196969696969698,0.08796296296296297,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006264501160092806,12758519,12758507,0,1,16,12758458,3676820762624,8479956480,3676820762624,8479956480,-0.08796296296296297,854.3823630809784,740.8996574878693,1595.2820205688477,2023-10-12 06:24:55,2023-10-12 06:39:09,0,InitSCBO,1.0,False,-1
9,1,max,2,23,41,12,0.06247517298767082,0.11027908364494932,0.5098866006360594,0.5263396404529892,0.06727337520916542,0.8641902960201218,0.8804398364864319,0.15968120879559086,0.8936259336835425,0.02256359532584853,0.12037037037037036,0.06620209059233449,None,None,410.87569546699524,294.26109623908997,0,True,287,216,0,21552135,16292202,3712,0,10303,0,75589241,56925913,9267,0,27860,0,0,0,0,0,0.06620209059233449,0.12037037037037036,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03294663573085849,71664217,71664205,0,0,8,0,6175144867328,12068465664,6175144867328,12068465664,-0.12037037037037036,705.7846460342407,987.875833272934,1693.6604793071747,2023-10-12 06:29:02,2023-10-12 06:40:47,0,InitSCBO,1.0,False,-1
